"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 7 June 2015"," Confirmed","3239","2018"
"Guinea"," 7 June 2015"," Probable","419","419"
"Guinea"," 7 June 2015"," Suspected","12","Not available"
"Guinea"," 7 June 2015"," Total","3670","2437"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 7 June 2015"," Confirmed","8635","3549"
"Sierra Leone"," 7 June 2015"," Probable","287","208"
"Sierra Leone"," 7 June 2015"," Suspected","3979","158"
"Sierra Leone"," 7 June 2015"," Total","12 901","3915"
"All countries","  "," Confirmed","15 025","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9627","Not available"
"All countries","  "," Total","27 237","11 158"
